dataid,local_15min,battery1,grid,solar,solar2,Whole Home Use (kW),kwh-1panel-15min
661,1/1/18 0:00,,,,,0,0
661,1/1/18 0:15,,,,,0,0
661,1/1/18 0:30,,,,,0,0
661,1/1/18 0:45,,,,,0,0
661,1/1/18 1:00,,1.447,-0.002,,1.445,0
661,1/1/18 1:15,,1.633,-0.002,,1.631,0
661,1/1/18 1:30,,1.41,-0.002,,1.408,0
661,1/1/18 1:45,,1.696,-0.003,,1.693,0
661,1/1/18 2:00,,1.095,-0.006,,1.089,0
661,1/1/18 2:15,,1.251,-0.006,,1.245,0
661,1/1/18 2:30,,1.18,-0.006,,1.174,0
661,1/1/18 2:45,,0.914,-0.006,,0.908,0
661,1/1/18 3:00,,1.381,-0.005,,1.376,0
661,1/1/18 3:15,,0.754,-0.004,,0.75,0
661,1/1/18 3:30,,1.025,-0.004,,1.021,0
661,1/1/18 3:45,,0.71,-0.005,,0.705,0
661,1/1/18 4:00,,0.812,-0.005,,0.807,0
661,1/1/18 4:15,,0.737,-0.005,,0.732,0
661,1/1/18 4:30,,0.634,-0.005,,0.629,0
661,1/1/18 4:45,,0.902,-0.005,,0.897,0
661,1/1/18 5:00,,0.498,-0.005,,0.493,0
661,1/1/18 5:15,,0.974,-0.005,,0.969,0
661,1/1/18 5:30,,0.893,-0.004,,0.889,0
661,1/1/18 5:45,,0.688,-0.004,,0.684,0
661,1/1/18 6:00,,1.019,-0.004,,1.015,0
661,1/1/18 6:15,,0.476,-0.005,,0.471,0
661,1/1/18 6:30,,0.838,-0.005,,0.833,0
661,1/1/18 6:45,,0.802,-0.005,,0.797,0
661,1/1/18 7:00,,0.609,-0.005,,0.604,0
661,1/1/18 7:15,,0.916,-0.005,,0.911,0
661,1/1/18 7:30,,0.743,-0.004,,0.739,0
661,1/1/18 7:45,,0.981,0.005,,0.986,0
661,1/1/18 8:00,,1.13,0.094,,1.224,0
661,1/1/18 8:15,,1.047,0.169,,1.216,0.000493827
661,1/1/18 8:30,,0.313,0.504,,0.817,0.000123457
661,1/1/18 8:45,,-0.158,0.728,,0.57,0.000679012
661,1/1/18 9:00,,-0.875,1.661,,0.786,0.006111111
661,1/1/18 9:15,,-0.556,1.19,,0.634,0.001358025
661,1/1/18 9:30,,-0.858,1.839,,0.981,0.00345679
661,1/1/18 9:45,,-0.467,1.632,,1.165,0.002901235
661,1/1/18 10:00,,-0.242,1.359,,1.117,0.003148148
661,1/1/18 10:15,,0.27,1.523,,1.793,0.003024691
661,1/1/18 10:30,,-0.175,1.672,,1.497,0.003148148
661,1/1/18 10:45,,-0.682,2.12,,1.438,0.002592593
661,1/1/18 11:00,,-1.07,2.344,,1.274,0.004382716
661,1/1/18 11:15,,-0.569,2.051,,1.482,0.011481481
661,1/1/18 11:30,,-1.047,2.212,,1.165,0.015555556
661,1/1/18 11:45,,-0.578,1.956,,1.378,0.014876543
661,1/1/18 12:00,,-0.692,1.934,,1.242,0.017839506
661,1/1/18 12:15,,-0.844,1.958,,1.114,0.019876543
661,1/1/18 12:30,,-0.179,1.838,,1.659,0.008209877
661,1/1/18 12:45,,0.339,1.47,,1.809,0.012222222
661,1/1/18 13:00,,0.522,1.184,,1.706,0.021358025
661,1/1/18 13:15,,0.317,1.25,,1.567,0.015925926
661,1/1/18 13:30,,0.899,1.233,,2.132,0.013950617
661,1/1/18 13:45,,0.457,1.165,,1.622,0.012345679
661,1/1/18 14:00,,0.608,1.201,,1.809,0.010185185
661,1/1/18 14:15,,0.592,1.038,,1.63,0.014938272
661,1/1/18 14:30,,0.692,0.911,,1.603,0.013950617
661,1/1/18 14:45,,1.176,1.126,,2.302,0.007222222
661,1/1/18 15:00,,3.076,0.812,,3.888,0.003641975
661,1/1/18 15:15,,5.184,0.497,,5.681,0.001111111
661,1/1/18 15:30,,3.277,0.582,,3.859,0.005925926
661,1/1/18 15:45,,4.135,0.496,,4.631,0.010740741
661,1/1/18 16:00,,3.098,0.518,,3.616,0.012839506
