Time,PV_Output,PV_Percentage,Demand_kW,Grid_Cost
0:00,0,0,0.12,0.01
0:15,0,0,0.12,0.01
0:30,0,0,0.12,0.01
0:45,0,0,0.12,0.01
1:00,0,0,0.16,0.01
1:15,0,0,0.16,0.01
1:30,0,0,0.16,0.01
1:45,0,0,0.16,0.01
2:00,0,0,0.08,0.01
2:15,0,0,0.08,0.01
2:30,0,0,0.08,0.01
2:45,0,0,0.08,0.01
3:00,0,0,0.16,0.01
3:15,0,0,0.16,0.01
3:30,0,0,0.16,0.01
3:45,0,0,0.16,0.01
4:00,0,0,0.12,0.01
4:15,0,0,0.12,0.01
4:30,0,0,0.12,0.01
4:45,0,0,0.12,0.01
5:00,0,0,0.2,0.01
5:15,0,0,0.2,0.01
5:30,0,0,0.2,0.01
5:45,0,0,0.2,0.01
6:00,0.002,0.01,0.2,0.01
6:15,0.007,0.035,0.2,0.01
6:30,0.014,0.067,0.2,0.01
6:45,0.022,0.103,0.2,0.01
7:00,0.03,0.141,0.2,0.02
7:15,0.039,0.18,0.2,0.02
7:30,0.047,0.22,0.2,0.02
7:45,0.056,0.259,0.2,0.02
8:00,0.064,0.298,0.72,0.05
8:15,0.072,0.337,0.72,0.05
8:30,0.081,0.375,0.72,0.05
8:45,0.089,0.412,0.72,0.05
9:00,0.096,0.449,1.76,0.12
9:15,0.104,0.484,1.76,0.12
9:30,0.111,0.518,1.76,0.12
9:45,0.118,0.55,1.76,0.12
10:00,0.125,0.581,0.92,0.06
10:15,0.131,0.61,0.92,0.06
10:30,0.137,0.637,0.92,0.06
10:45,0.142,0.662,0.92,0.06
11:00,0.147,0.686,0.16,0.01
11:15,0.152,0.707,0.16,0.01
11:30,0.156,0.725,0.16,0.01
11:45,0.159,0.742,0.16,0.01
12:00,0.162,0.756,0.24,0.02
12:15,0.165,0.767,0.24,0.02
12:30,0.167,0.776,0.24,0.02
12:45,0.168,0.783,0.24,0.02
13:00,0.169,0.787,0.28,0.02
13:15,0.169,0.788,0.28,0.02
13:30,0.169,0.787,0.28,0.02
13:45,0.168,0.783,0.28,0.02
14:00,0.167,0.777,0.4,0.03
14:15,0.165,0.768,0.4,0.03
14:30,0.163,0.756,0.4,0.03
14:45,0.16,0.742,0.4,0.03
15:00,0.156,0.726,1.24,0.09
15:15,0.152,0.707,1.24,0.09
15:30,0.148,0.686,1.24,0.09
15:45,0.143,0.663,1.24,0.09
16:00,0.137,0.638,1.52,0.13
16:15,0.131,0.611,1.52,0.13
16:30,0.125,0.582,1.52,0.13
16:45,0.119,0.551,1.52,0.13
17:00,0.112,0.519,1.16,0.1
17:15,0.104,0.485,1.16,0.1
17:30,0.097,0.45,1.16,0.1
17:45,0.089,0.414,1.16,0.1
18:00,0.081,0.377,1.48,0.13
18:15,0.073,0.338,1.48,0.13
18:30,0.064,0.3,1.48,0.13
18:45,0.056,0.261,1.48,0.13
19:00,0.048,0.221,0.44,0.04
19:15,0.039,0.182,0.44,0.04
19:30,0.031,0.143,0.44,0.04
19:45,0.022,0.105,0.44,0.04
20:00,0.015,0.068,0.2,0.02
20:15,0.008,0.036,0.2,0.02
20:30,0.002,0.011,0.2,0.02
20:45,0,0,0.2,0.02
21:00,0,0,0.2,0.01
21:15,0,0,0.2,0.01
21:30,0,0,0.2,0.01
21:45,0,0,0.2,0.01
22:00,0,0,0.2,0.01
22:15,0,0,0.2,0.01
22:30,0,0,0.2,0.01
22:45,0,0,0.2,0.01
23:00,0,0,0.16,0.01
23:15,0,0,0.16,0.01
23:30,0,0,0.16,0.01
